,0
Qualitative_time_sec,2.8825964000025124
mean_L_list,"[0.4694223787839177, 0.496088764637677, 0.5058200223873702, 0.5095739083689012, 0.5110115561916336, 0.5115434681923718, 0.5117369042310116, 0.5118074136172902, 0.5118332305340831, 0.5118426484768964, 0.5118460698032367, 0.51184730844418, 0.5118477562559663, 0.5118479180543979, 0.5118479765027308, 0.5118479976205618, 0.5118480052467198, 0.5118480079998998]"
mean_U_list,"[0.6653300339138201, 0.6515775276126111, 0.6385845535304607, 0.6259936148520715, 0.613743987397545, 0.601803538229651, 0.5902077202499539, 0.5789570301978947, 0.5680194955943132, 0.5574184690949913, 0.547322337764178, 0.5380750186625695, 0.5297546878211677, 0.5224045297539673, 0.5168871331539246, 0.513575194557319, 0.5118209453932215, 0.5110475267970129]"
