,0
Exported States (PRISM),9800
Transitions,0
Qualitative_time_sec,11.858863657340407
mean_L_list,"[0.0, 0.4258969560655739, 0.4352912064944255, 0.4352918375896891, 0.43529183760564877, 0.43529183760564877]"
mean_U_list,"[0.44551020408163267, 0.43711890793889985, 0.43638846671729786, 0.43569668321632044, 0.4352590275605346, 0.43514911752359026]"
